"X","Y","OBJECTID","PID","SSL","PMPROPERTYID","UBID","PROPERTYNAME","PMPARENTPROPERTYID","PARENTPROPERTYNAME","ADDRESSOFRECORD","OWNEROFRECORD","WARD","REPORTEDADDRESS","CITY","STATE","POSTALCODE","YEARBUILT","PRIMARYPROPERTYTYPE_EPACALC","TAXRECORDFLOORAREA","REPORTEDBUILDINGGROSSFLOORAREA","BEPS","BEPS_METRIC_TYPE","BEPS_PROPERTY_GROUP","PROPERTY_BEPS_METRIC_YEAR","PROPERTY_BEPS_METRIC","MEETS_BEPS","DISTANCE_FROM_BEPS_ESTIMATED","PERFORMANCE_REQUIREMENT_EST","LATITUDE","LONGITUDE","XCOORD","YCOORD","MAR_ID","GIS_ID","GLOBALID","LASTUPDATE"
-77.0778345562036,38.9435279200277,106856,DC17860010,1786    0010,,,,,,4200 WISCONSIN AVE NW,AMERICAN UNIVERSITY,3,,WASHINGTON,DC,,,,216397,,,,,,,Under Review,,,38.94352013,-77.07783225,393252.6496333,141739.28044825,222979,,{DF9A5348-F337-29BB-E053-792F520AEC22},
-77.0071881256699,38.8779936905111,106847,DC0699N0824,0699N   0824,,,,,,1010 HALF ST SE,TOLL DC PHASE III OWNER LLC,6,,WASHINGTON,DC,,,,285000,,,,,,,Under Review,,,38.87798591,-77.00718584,399376.48010736,134461.59033058,277869,,{DF9A5348-F32E-29BB-E053-792F520AEC22},
-76.9975364755878,38.9212711045686,106876,DC36290011,3629    0011,,,,,,616 RHODE ISLAND AVE NE,GREATER MOUNT CALVARY HOLY CHURCH,5,,WASHINGTON,DC,,,,84331,,,,,,,Does Not Meet BEPS: Incomplete/Missing Report,,,38.92126331,-76.99753419,400213.83013178,139265.70677894,288786,,{DF9A5348-F34B-29BB-E053-792F520AEC22},
-76.9544275909146,38.9213664985635,106896,DC43271318,4327    1318,,,,,,2470 MARKET ST NE,FORT LINCOLN RETAIL LLC,5,,WASHINGTON,DC,,,,50018,,,,,,,Under Review,,,38.9213587,-76.95442532,403952.14002363,139277.27951589,309918,,{DF9A5348-F35F-29BB-E053-792F520AEC22},
-76.9376185706322,38.879076069751,106906,DC53600831,5360    0831,,,,,,4430 H STREET SE,DISTRICT OF COLUMBIA,7,,WASHINGTON,DC,,,,80948,,,,,,,Under Review,,,38.87906828,-76.93761631,405412.98980933,134583.5666163,294598,,{DF9A5348-F369-29BB-E053-792F520AEC22},
-76.9981452789143,38.8435047775766,106919,DC5954W0801,5954W   0801,,,,,,3100 MARTIN LUTHER KING JR AVE SE,DISTRICT OF COLUMBIA,8,,WASHINGTON,DC,,,,69393,,,,,,,Does Not Meet BEPS: Incomplete/Missing Report,,,38.843497,-76.998143,400161.21094762,130633.04792083,301280,,{DF9A5348-F376-29BB-E053-792F520AEC22},
-77.0128697455015,38.9621726636334,106872,DC33810812,3381    0812,,,,,,100 PEABODY STREET NW,DISTRICT OF COLUMBIA,4,,WASHINGTON,DC,,,,157164,,,,,,,Does Not Meet BEPS: Incomplete/Missing Report,,,38.96216486,-77.01286745,398884.80036001,143806.21762389,277545,,{DF9A5348-F347-29BB-E053-792F520AEC22},
-76.9998358792874,38.9230636967429,106877,DC36300002,3630    0002,,,,,,415 EDGEWOOD STREET NE,DISTRICT OF COLUMBIA,5,,WASHINGTON,DC,,,,53380,,,,,,,Does Not Meet BEPS: Incomplete/Missing Report,,,38.9230559,-76.99983359,400014.43038099,139464.69656816,289565,,{DF9A5348-F34C-29BB-E053-792F520AEC22},
-77.0207002922418,38.8860527834912,106829,DC04630819,0463    0819,,,,,,600 MARYLAND AVE SW,OCEAN VIEW DEVELOPMENT COMPANY LP,6,,WASHINGTON,DC,,,,628340,,,,,,,Under Review,,,38.886045,-77.020698,398204.22426987,135356.39012432,5831,,{DF9A5348-F31C-29BB-E053-792F520AEC22},
-76.9259522566698,38.8848457880855,106905,DC53010037,5301    0037,,,,,,5300 C ST SE,DISTRICT OF COLUMBIA,7,,WASHINGTON,DC,,,,61548,,,,,,,Under Review,,,38.884838,-76.92595,406424.74775018,135224.80597851,10780,,{DF9A5348-F368-29BB-E053-792F520AEC22},
-77.0084115110512,38.9507029268191,106883,DC36890005,3689    0005,,,,,,4951 ROCK CREEK CHURCH ROAD NE,NORTHWOOD GARDEN APARTMENTS,5,,WASHINGTON,DC,,,,9664,,,,,,,Under Review,,,38.95069513,-77.00840922,399271.07015565,142532.92714242,15681,,{DF9A5348-F352-29BB-E053-792F520AEC22},
-76.9206375223932,38.8902992252592,106902,DC52440804,5244    0804,,,,,,5600 EAST CAPITOL STREET NE,DISTRICT OF COLUMBIA,7,,WASHINGTON,DC,,,,139654,,,,,,,Does Not Meet BEPS: Incomplete/Missing Report,,,38.89029144,-76.92063526,406885.34036121,135830.56743686,289793,,{DF9A5348-F365-29BB-E053-792F520AEC22},
-76.9521772730417,38.9013277925222,106922,DCPAR01700026,PAR 01700026,,,,,,650 ANACOSTIA AVE NE,DISTRICT OF COLUMIBA,7,,WASHINGTON,DC,,,,74826,,,,,,,Under Review,,,38.90132,-76.952175,404148.44837482,137052.91874737,294493,,{DF9A5348-F379-29BB-E053-792F520AEC22},
-77.025878032329,38.9296139315228,106867,DC28910112,2891    0112,,,,,,770 KENYON STREET NW,DISTRICT OF COLUMBIA,1,,WASHINGTON,DC,,,,48591,,,,,,,Does Not Meet BEPS: Incomplete/Missing Report,,,38.92960614,-77.02587574,397756.36990671,140192.14718637,285409,,{DF9A5348-F342-29BB-E053-792F520AEC22},
